shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
1879124,SUNJET 150 SOLAR POWERED FOUNTAIN PUMP,OUTDOOR LIVING SEASONAL,71,29.0,41619,36.0,42.35,,41.99,,,,,,,64.99,,,,,,,,,41.99,,,66.99,,41.99,0.149940968123
1902831,CHAMELEON 6034 SOLAR LED SMART GLOBE,OUTDOOR LIVING SEASONAL,71,29.0,41709,21.0,25.3,,25.42,,,,,25.5,,,,,,,,,,,19.54,,,,,19.54,0.169960474308
1920052,FROSTED SCROLL SOLAR LED LANTERN,OUTDOOR LIVING SEASONAL,71,29.0,41875,16.0,25.95,,,,,,,30.29,,,,,,,,,,,,,,31.99,,30.29,0.383429672447
1952740,3 X 24 CRYSTAL WHITE TREE WITH 50 CLEA,OUTDOOR LIVING SEASONAL,71,51.0,47127,28.03,45.89,,,,,,,,,,,,,,,,,,,,,50.99,,50.99,0.389191544999
1958634,15.75 GOLD SHINY CHRISTMAS BALL ORNAMEN,OUTDOOR LIVING SEASONAL,71,56.0,55356,47.38,,,33.02,,,,,,,,,,,,,,,,,,,,,33.02,
1987420,SMART SOLAR CERAMIC SOLAR CASCADE GLAZE,OUTDOOR LIVING SEASONAL,71,29.0,41948,82.5,108.64,,108.64,,,,,108.64,,,,,,,,,,,108.99,,,141.99,,108.64,0.240611192931
1987496,30 STAR SOLAR LED STRING LIGHT SET,OUTDOOR LIVING SEASONAL,71,29.0,41951,21.0,34.95,,,,,,,35.98,,34.99,,,,,,,,,14.44,,,41.99,,14.44,0.399141630901
1988602,30 CRYSTAL BALL SOLAR LED STRING LIGHT S,OUTDOOR LIVING SEASONAL,71,29.0,41952,21.0,30.6,,,,,,,34.93,,,,,,,,,,43.98,34.84,,,38.99,,34.84,0.313725490196
1988747,20 BUTTERFLY SOLAR COLOR LED STRING LIGH,OUTDOOR LIVING SEASONAL,71,29.0,41953,21.0,34.45,,16.56,,,,,20.07,,39.99,,,,,,,,,16.56,,,,,16.56,0.390420899855
2193262,BLACK POWDER COATED STEEL PAGODA PATIO F,OUTDOOR LIVING SEASONAL,71,28.0,42608,103.0,137.33,,112.81,,149.99,,,94.75,,,128.99,,,,,,,,,,112.81,117.99,,94.75,0.249981795675
2193420,FLOOR STANDING ROUND COPPER FINISH HALOG,OUTDOOR LIVING SEASONAL,71,28.0,42613,139.0,185.33,,134.78,,199.99,,,122.53,,,,,,,,,,160.99,,,147.78,,,122.53,0.249986510549
2193421,TABLE TOP ROUND COPPER FINISH HALOGEN PA,OUTDOOR LIVING SEASONAL,71,28.0,42614,119.0,158.67,,132.53,,179.99,,,136.51,,,,,,,,,,,132.99,,132.53,138.61,,132.53,0.250015755972
