shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
5697268,TLST48 48-GALLON 14-GAUGE STEEL L-SHAPE,TOOLS,9,88.0,36976,254.0,562.99,,,,,,,528.42,,,,,299.0,,,,,,,,,479.99,,299.0,0.548837457148
5697286,TAL600 60-INCH ALUMINUM SIDE MOUNT BOX,TOOLS,9,88.0,36995,210.1,413.99,,,,,,,339.0,,,,,,,,,,269.99,,,,273.99,,269.99,0.492499818836
5878647,PEEK-A-BOO GARDEN BUTTERFLIES BIRDS MURA,TOOLS,30,88.0,21859,86.49,172.99,,33.63,,,,,,,,,,172.99,,,,,,,,,,,33.63,0.500028903405
5894555,LIME FRUIT MAGIC HOOK,TOOLS,30,23.0,21946,3.37,5.81,,5.81,,,,,5.81,,,,,5.99,,,,,,,,,,,5.81,0.419965576592
6121020,WALT DISNEY KIDS II POLKADOT WALLPAPER,TOOLS,9,88.0,15728,41.99,,,53.96,,,,,,,,,,83.98,,,,,,,,,,,53.96,
6121669,RADIO FOR WORKSITE,TOOLS,9,20.0,39320,83.99,119.98,,119.0,,,,,119.0,,,119.0,,,,,,,,,,,,,119.0,0.29996666111
6122146,508309 TOLLAND OUTDOOR UPLIGHT 10.5-INC,TOOLS,34,88.0,18512,91.48,128.75,,120.49,,,,,,,,,,,,,,,,,,,145.99,,120.49,0.289475728155
6122205,505362 HIGHLAND OUTDOOR UPLIGHT 7.5-INC,TOOLS,34,88.0,18526,45.99,64.6,,59.02,,,,,,,,63.49,,,,,,,,,,,75.99,,59.02,0.288080495356
6122397,WALT DISNEY KIDS II FAIRIES BEST FRIENDS,TOOLS,9,88.0,14958,20.99,,,11.25,,,,,,,,,,41.99,,,,,,,,23.33,,,11.25,
6126407,WALT DISNEY KIDS II LIGHTNING MCQUEEN BO,TOOLS,9,88.0,1801,20.99,,,41.89,,,,,,,,,,41.99,,,,,,,,,,,41.89,
61775811,KWIK SEAL CLEAR 18008 5.5 OZ CLEAR,TOOLS,30,23.0,38342,1.2,,,5.1,,,,,,,,,,2.97,,,,,,,,,,,2.97,
6189033,500629 MILLBRIDGE 1-LIGHT GLOBE CEILING,TOOLS,34,88.0,18679,9.97,17.99,,5.5,,,,,,,,,,,,,,,,,,,23.99,,5.5,0.445803224013
6458433,YORK TEXTURES ARID WALLPAPER,TOOLS,30,88.0,21970,39.99,56.99,,56.99,,,,,88.87,,,89.98,,,,,,,,,,,,,56.99,0.298297947008
6458527,MODERN RUSTIC SUEDED CORK WALLPAPER,TOOLS,30,88.0,21993,22.49,63.86,,63.86,,,,,65.78,,,76.91,,89.98,,,,,,,,,,,63.86,0.647823363608
